variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
OM Cost|Fixed|Liquids|Gas|w/o CCS,OM Cost,Fixed,Liquids,Gas,w/o CCS,Gas&Oil,Gas,Gas - w/o CCS,,w/o CCS
Water Consumption|Extraction|Coal,Water Consumption,Extraction,Coal,,,Extraction,Coal,Coal,Coal,
Water Consumption|Extraction|Oil,Water Consumption,Extraction,Oil,,,Extraction,Oil,Oil,Oil,
Water Consumption|Heat|Gas,Water Consumption,Heat,Gas,,,Heat,Gas,Gas,Gas,
Water Consumption|Hydrogen|Gas,Water Consumption,Hydrogen,Gas,,,Hydrogen,Gas,Gas,Gas,
Water Consumption|Hydrogen|Gas|w/ CCS,Water Consumption,Hydrogen,Gas,w/ CCS,,Hydrogen,Gas,Gas - w/ CCS,Gas,w/ CCS
Water Consumption|Liquids|Coal|w/o CCS,Water Consumption,Liquids,Coal,w/o CCS,,Liquids,Coal,Coal - w/o CCS,Coal,w/o CCS
Water Consumption|Liquids|Fossil|w/o CCS,Water Consumption,Liquids,Fossil,w/o CCS,,Liquids,Fossil,Fossil - w/o CCS,Fossil,w/o CCS
Water Withdrawal|Extraction|Oil,Water Withdrawal,Extraction,Oil,,,Extraction,Oil,Oil,Oil,
Water Withdrawal|Heat|Coal,Water Withdrawal,Heat,Coal,,,Heat,Coal,Coal,Coal,
Water Withdrawal|Liquids|Gas|w/o CCS,Water Withdrawal,Liquids,Gas,w/o CCS,,Liquids,Gas,Gas - w/o CCS,Gas,w/o CCS
Water Withdrawal|Liquids|Oil,Water Withdrawal,Liquids,Oil,,,Liquids,Oil,Oil,Oil,
Emissions|CO2|Industrial Processes|Chemicals|High value chemicals,Emissions,CO2,Industrial Processes,Chemicals,High value chemicals,High value chemicals,Chemicals,Industrial Processes,,
Policy Cost|GDP Loss|w/o transfers,Policy Cost,GDP Loss,w/o transfers,,,,,,,
Premature Deaths|PM2.5,Premature Deaths,PM2.5,,,,,,,,
Capacity|Storage|Thermal Energy Storage,Capacity,Storage,Thermal Energy Storage,,,Power,Storage,Thermal Energy Storage,,
Capital Cost|Heating|Electric boilers,Capital Cost,Heating,Electric boilers,,,Heating,Heating,Electric boilers,,
Capital Cost|Storage|Thermal Energy Storage|Household storage,Capital Cost,Storage,Thermal Energy Storage,Household storage,,Storage,Storage,Thermal Energy Storage - Household storage,,
Efficiency|Heating|Electric boilers,Efficiency,Heating,Electric boilers,,,Heating,,Heating,Electric boilers,
OM Cost|Electricity|Storage|Battery Capacity|Utility-scale Battery ,OM Cost,Electricity,Storage,Battery Capacity,Utility-scale Battery ,Storage,Battery Storage,Battery Capacity - Utility-scale Battery ,Electricity,
OM Cost|Electricity|Storage|Pumped Hydro Storage,OM Cost,Electricity,Storage,Pumped Hydro Storage,,Power,Storage,Pumped Hydro Storage,,
Secondary Energy|Electricity|Solar|PV|Utility-scale PV,Secondary Energy,Electricity,Solar,PV,Utility-scale PV,Renewables,Solar,Solar - PV,,
Energy Service|Residential and Commercial|Commercial|Offices|Construction,Energy Service,Residential and Commercial,Commercial,Offices,Construction,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Construction rate,Energy Service,Residential and Commercial,Construction rate,,,Residential and Commercial,Construction rate,,,
Emissions|BC|Energy|Supply,Emissions,BC,Energy,Supply,,,Supply,Energy,,
Emissions|CH4|AFOLU|Agriculture,Emissions,CH4,AFOLU,Agriculture,,,Agriculture,AFOLU,,
Emissions|CO2|Energy|Demand|Transportation,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO|Energy|Supply,Emissions,CO,Energy,Supply,,,Supply,Energy,,
Emissions|Kyoto Gases,Emissions,Kyoto Gases,,,,,,,,
Emissions|N2O,Emissions,N2O,,,,,,,,
Emissions|N2O|AFOLU|Agriculture,Emissions,N2O,AFOLU,Agriculture,,,Agriculture,AFOLU,,
Emissions|OC|Energy|Supply,Emissions,OC,Energy,Supply,,,Supply,Energy,,
Energy Service|Transportation|Passenger|Railways,Energy Service,Transportation,Passenger,Railways,,Transportation,Passenger,,,
Energy Service|Transportation|Passenger|Road|Bus,Energy Service,Transportation,Passenger,Road,Bus,Transportation,Passenger,,,
Final Energy|Geothermal,Final Energy,Geothermal,,,,Geothermal,,,,
Final Energy|Heat,Final Energy,Heat,,,,Heat,,,,
Final Energy|Other Sector|Solids|Biomass,Final Energy,Other Sector,Solids,Biomass,,Biomass,,,,
Final Energy|Residential and Commercial|Commercial|Gases,Final Energy,Residential and Commercial,Commercial,Gases,,Commercial,Gases,,,
Final Energy|Residential and Commercial|Commercial|Solids,Final Energy,Residential and Commercial,Commercial,Solids,,Commercial,Solids,,,
Final Energy|Residential and Commercial|Residential|Solids|Coal,Final Energy,Residential and Commercial,Residential,Solids,Coal,Residential,Solids,Coal,,
Final Energy|Residential and Commercial|Solids|Coal,Final Energy,Residential and Commercial,Solids,Coal,,Residential and Commercial,Coal,,,
Final Energy|Solids|Biomass,Final Energy,Solids,Biomass,,,Biomass,,Biomass,Biomass,
Food Energy Supply|Livestock,Food Energy Supply,Livestock,,,,Agriculture,Livestock,,,
Forestry Demand|Roundwood|Wood Fuel,Forestry Demand,Roundwood,Wood Fuel,,,Biomass,,,,
Forestry Production|Roundwood|Industrial Roundwood,Forestry Production,Roundwood,Industrial Roundwood,,,Biomass,,,,
GDP|PPP,GDP,PPP,,,,,,,,
Investment|Energy Supply|Electricity|Fossil,Investment,Energy Supply,Electricity,Fossil,,Power,,Fossil,Fossil,
Investment|Energy Supply|Electricity|Non-Biomass Renewables,Investment,Energy Supply,Electricity,Non-Biomass Renewables,,Renewables,,Non-Biomass Renewables,Non-Biomass Renewables,
Investment|Energy Supply|Electricity|Non-fossil,Investment,Energy Supply,Electricity,Non-fossil,,Power,,Non-fossil,Non-fossil,
Investment|Energy Supply|Heat,Investment,Energy Supply,Heat,,,Heat,,,,
Investment|Energy Supply|Liquids,Investment,Energy Supply,Liquids,,,Liquids,,,,
Land Cover|Pasture,Land Cover,Pasture,,,,,,,,
OM Cost|Fixed|Electricity|Biomass|w/o CCS,OM Cost,Fixed,Electricity,Biomass,w/o CCS,Power,Biomass,Biomass - w/o CCS,,w/o CCS
OM Cost|Fixed|Electricity|Geothermal,OM Cost,Fixed,Electricity,Geothermal,,Renewables,Geothermal,Geothermal,,
OM Cost|Fixed|Electricity|Wind|Onshore,OM Cost,Fixed,Electricity,Wind,Onshore,Renewables,Wind,Wind - Onshore,Wind,
Price|Secondary Energy|Electricity,Price,Secondary Energy,Electricity,,,Power,,,Electricity,
Primary Energy|Biomass|Electricity,Primary Energy,Biomass,Electricity,,,Power,Biomass,Biomass,,
Primary Energy|Biomass|Solids,Primary Energy,Biomass,Solids,,,Biomass,Solids,Solids,,
Primary Energy|Coal|Electricity|w/o CCS,Primary Energy,Coal,Electricity,w/o CCS,,Power,,Coal - w/o CCS,Coal,w/o CCS
Primary Energy|Gas|Electricity|w/ CCS,Primary Energy,Gas,Electricity,w/ CCS,,Power,,Gas - w/ CCS,Gas,w/ CCS
Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,,w/o CCS
Secondary Energy|Electricity|Coal,Secondary Energy,Electricity,Coal,,,Power,Coal,Coal,,
Secondary Energy|Electricity|Fossil|w/o CCS,Secondary Energy,Electricity,Fossil,w/o CCS,,Power,Fossil,Fossil - w/o CCS,,w/o CCS
Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy,Electricity,Oil,w/ CCS,,Power,Oil,Oil - w/ CCS,,w/ CCS
Secondary Energy|Electricity|Solar,Secondary Energy,Electricity,Solar,,,Renewables,Solar,Solar,,
Secondary Energy|Gases|Natural Gas,Secondary Energy,Gases,Natural Gas,,,Gases,Natural Gas,Gases,,
Secondary Energy|Liquids|Biomass|Energy Crops,Secondary Energy,Liquids,Biomass,Energy Crops,,Liquids,Biomass,Liquids - Energy Crops,,
Water Consumption|Electricity|Coal,Water Consumption,Electricity,Coal,,,Power,Coal,Coal,Coal,
Water Consumption|Electricity|Gas,Water Consumption,Electricity,Gas,,,Power,Gas,Gas,Gas,
Water Consumption|Industrial Water,Water Consumption,Industrial Water,,,,Industrial Water,,,,
Water Withdrawal,Water Withdrawal,,,,,,,,,
Water Withdrawal|Electricity,Water Withdrawal,Electricity,,,,Power,,,,
Water Withdrawal|Electricity|Biomass|w/o CCS,Water Withdrawal,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Water Withdrawal|Electricity|Geothermal,Water Withdrawal,Electricity,Geothermal,,,Renewables,Geothermal,Geothermal,Geothermal,
Capacity Additions|Electricity|Coal|w/ CCS,Capacity Additions,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Capacity Additions|Electricity|Coal|w/o CCS,Capacity Additions,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Capacity Additions|Electricity|Nuclear,Capacity Additions,Electricity,Nuclear,,,Power,Nuclear,Nuclear,Nuclear,
Capacity Additions|Electricity|Oil,Capacity Additions,Electricity,Oil,,,Power,Oil,Oil,Oil,
Capacity|Electricity|Coal|w/ CCS,Capacity,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Capacity|Electricity|Oil|w/o CCS,Capacity,Electricity,Oil,w/o CCS,,Power,Oil,Oil - w/o CCS,Oil,w/o CCS
Capacity|Electricity|Wind|Onshore,Capacity,Electricity,Wind,Onshore,,Power,Wind,Wind - Onshore,Wind,
Capital Cost|Liquids|Biomass|w/o CCS,Capital Cost,Liquids,Biomass,w/o CCS,,Biomass,Liquids,Biomass - w/o CCS,,w/o CCS
Cumulative Capacity|Electricity|Gas|w/o CCS,Cumulative Capacity,Electricity,Gas,w/o CCS,,Power,Gas,Gas - w/o CCS,Gas,w/o CCS
Efficiency|Electricity|Gas|w/o CCS,Efficiency,Electricity,Gas,w/o CCS,,Power,Gas,Gas - w/o CCS,Gas,w/o CCS
Final Energy|Transportation|Passenger|Other,Final Energy,Transportation,Passenger,Other,,Transportation,Passenger,Other,,
Secondary Energy|Heat|Nuclear,Secondary Energy,Heat,Nuclear,,,Heat,Nuclear,Heat,,
Price|Carbon,Price,Carbon,,,,,,,,
Agricultural Demand|Crops|Energy|2nd generation,Agricultural Demand,Crops,Energy,2nd generation,,Agriculture,Crops,Energy - 2nd generation,,
OM Cost|Fixed|Electricity|Biomass|w/ CCS,OM Cost,Fixed,Electricity,Biomass,w/ CCS,Power,Biomass,Biomass - w/ CCS,,w/ CCS
Unemployment|Rate,Unemployment,Rate,,,,,,,,
Cumulative Capacity|Electricity|Oil,Cumulative Capacity,Electricity,Oil,,,Power,Oil,Oil,Oil,
Emissions|CO2|Energy|Supply|Other Sector,Emissions,CO2,Energy,Supply,Other Sector,Other Sector,Supply,Energy,,
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,Carbon Sequestration,CCS,Biomass,Energy,Demand,Energy,Demand,CCS,Biomass,CCS
Emissions|CO2|Energy|Demand|Transportation|Passenger,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO2|Energy|Supply|Heat,Emissions,CO2,Energy,Supply,Heat,Heat,Supply,Energy,,
Lifetime|Electricity|Biomass|w/ CCS,Lifetime,Electricity,Biomass,w/ CCS,,Power,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Lifetime|Electricity|Nuclear,Lifetime,Electricity,Nuclear,,,Power,Nuclear,Nuclear,Nuclear,
Lifetime|Electricity|Wind,Lifetime,Electricity,Wind,,,Renewables,Wind,Wind,Wind,
Secondary Energy|Electricity|Wind|Offshore,Secondary Energy,Electricity,Wind,Offshore,,Renewables,Wind,Wind - Offshore,Wind,
Secondary Energy|Hydrogen|Electricity,Secondary Energy,Hydrogen,Electricity,,,Power,Hydrogen,Hydrogen,Hydrogen,
Secondary Energy|Hydrogen|Fossil,Secondary Energy,Hydrogen,Fossil,,,Hydrogen,Fossil,Hydrogen,,
Final Energy|Transportation|Passenger|Hydrogen,Final Energy,Transportation,Passenger,Hydrogen,,Transportation,Passenger,Hydrogen,,
Investment|Energy Demand|Transportation|Passenger|Road|LDV|ICE,Investment,Energy Demand,Transportation,Passenger,Road,Transportation,,Passenger,Passenger,
OM Cost|Fixed|Electricity|Wind|Offshore,OM Cost,Fixed,Electricity,Wind,Offshore,Renewables,Wind,Wind - Offshore,Wind,
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|Sulfur|Energy|Demand|Transportation|Freight,Emissions,Sulfur,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Freight|Other,Energy Service,Transportation,Freight,Other,,Transportation,Freight,,,
Energy Service|Transportation|Rail,Energy Service,Transportation,Rail,,,Transportation,Rail,,,
Final Energy|Transportation|Passenger|Liquids|Fossil synfuel,Final Energy,Transportation,Passenger,Liquids,Fossil synfuel,Transportation,Passenger,Liquids - Fossil synfuel,,
Final Energy|Transportation|Road|Freight|FC,Final Energy,Transportation,Road,Freight,FC,Transportation,Road,Freight - FC,,
Final Energy|Residential and Commercial|Appliances,Final Energy,Residential and Commercial,Appliances,,,Appliances,,,,
Final Energy|Residential and Commercial|Commercial|Appliances,Final Energy,Residential and Commercial,Commercial,Appliances,,Commercial,Appliances,,,
Final Energy|Residential and Commercial|Commercial|Cooling,Final Energy,Residential and Commercial,Commercial,Cooling,,Commercial,Cooling,,,
Final Energy|Residential and Commercial|Residential|Cooling,Final Energy,Residential and Commercial,Residential,Cooling,,Residential,Cooling,,,
Final Energy|Residential and Commercial|Commercial|Heating|Space,Final Energy,Residential and Commercial,Commercial,Heating,Space,Commercial,Heating,Space,,
Trade|Secondary Energy|Hydrogen|Volume,Trade,Secondary Energy,Hydrogen,Volume,,Hydrogen,Hydrogen,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Health,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Energy Service|Residential and Commercial|Residential|Multi-family|Floor space,Energy Service,Residential and Commercial,Residential,Multi-family,Floor space,Residential and Commercial,Residential,,,
Policy Cost|Equivalent Variation,Policy Cost,Equivalent Variation,,,,,,,,
Primary Energy|Non-Biomass Renewables|Solar,Primary Energy,Non-Biomass Renewables,Solar,,,Renewables,Solar,Solar,,
Concentration|N2O,Concentration,N2O,,,,,,,,
Expenditure|household|Food,Expenditure,household,Food,,,,,,,
Expenditure|household|Services,Expenditure,household,Services,,,,,,,
Import,Import,,,,,,,,,
Trade,Trade,,,,,,,,,
Value Added|Industry|Energy Intensive,Value Added,Industry,Energy Intensive,,,Industry,Energy Intensive,,,
Efficiency|Liquids|Coal|w/o CCS,Efficiency,Liquids,Coal,w/o CCS,,Coal,Liquids,Coal - w/o CCS,Coal,w/o CCS
Employment|Services,Employment,Services,,,,Services,,,,
Value Added|Services|Other Services,Value Added,Services,Other Services,,,Services,Other Services,,,
Land Cover|Cropland|Energy Crops|Irrigated,Land Cover,Cropland,Energy Crops,Irrigated,,,,,,
Capacity|Hydrogen|Coal,Capacity,Hydrogen,Coal,,,Power,Hydrogen,Hydrogen - Coal,,
Capital Cost|Hydrogen|Gas|w/ CCS,Capital Cost,Hydrogen,Gas,w/ CCS,,Gas&Oil,Gas,Hydrogen - w/ CCS,,w/ CCS
Cumulative Capacity|Hydrogen|Coal|w/ CCS,Cumulative Capacity,Hydrogen,Coal,w/ CCS,,Power,Hydrogen,Coal - w/ CCS,Coal,w/ CCS
Water Consumption|Electricity|Dry Cooling,Water Consumption,Electricity,Dry Cooling,,,Power,Dry Cooling,Dry Cooling,Dry Cooling,
Water Withdrawal|Electricity|Solar,Water Withdrawal,Electricity,Solar,,,Renewables,Solar,Solar,Solar,
Water Withdrawal|Electricity|Solar|CSP,Water Withdrawal,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,Solar,
Cumulative Capacity|Electricity|Other,Cumulative Capacity,Electricity,Other,,,Power,Electricity,Other,Other,
Emissions|CH4|Industrial Processes|Steel,Emissions,CH4,Industrial Processes,Steel,,Steel,Steel,Industrial Processes,,
Emissions|CO2|Industrial Processes|Pulp and Paper,Emissions,CO2,Industrial Processes,Pulp and Paper,,,Pulp and Paper,Industrial Processes,,
Final Energy|Industry|Cement|Liquids,Final Energy,Industry,Cement,Liquids,,Cement,Liquids,,,
Final Energy|Industry|Chemicals|Electricity,Final Energy,Industry,Chemicals,Electricity,,Chemicals,Electricity,,Electricity,
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Bioenergy,Final Energy,Industry,Chemicals,High value chemicals,Liquids,Chemicals,High value chemicals,Liquids,,
Final Energy|Industry|Chemicals|High value chemicals|Solids|Bioenergy,Final Energy,Industry,Chemicals,High value chemicals,Solids,Chemicals,High value chemicals,Solids,,
Final Energy|Industry|Other|Solids,Final Energy,Industry,Other,Solids,,Industry,Solids,,,
Final Energy|Industry|Other|Solids|Bioenergy,Final Energy,Industry,Other,Solids,Bioenergy,Industry,Solids,Bioenergy,,
Final Energy|Industry|Steel|Liquids|Fossil,Final Energy,Industry,Steel,Liquids,Fossil,Steel,Liquids,Fossil,,
Final Energy|Industry|Steel|Solids|Fossil,Final Energy,Industry,Steel,Solids,Fossil,Steel,Solids,Fossil,,
Emissions|Sulfur|Waste,Emissions,Sulfur,Waste,,,,,Waste,,
Fertilizer Use|Nitrogen|Inorganic,Fertilizer Use,Nitrogen,Inorganic,,,,,,,
Land Cover|Cropland|Oilcrops,Land Cover,Cropland,Oilcrops,,,,,,,
Population|Prevalence of overweight,Population,Prevalence of overweight,,,,,,,,
Final Energy|Transportation|Passenger|Liquids|Biomass,Final Energy,Transportation,Passenger,Liquids,Biomass,Transportation,Passenger,Liquids - Biomass,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Cooking,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Capacity|Transportation|Aviation|Passenger,Capacity,Transportation,Aviation,Passenger,,Transportation,Aviation,Passenger,,
Discount rate|Transport Infrastructure,Discount rate,Transport Infrastructure,,,,Transportation,Transport Infrastructure,,,
Cumulative Capacity|Gases|Biomass|w/ CCS,Cumulative Capacity,Gases,Biomass,w/ CCS,,Power,Gases,Biomass - w/ CCS,Biomass,w/ CCS
Cumulative Capacity|Liquids|Biomass|w/ CCS,Cumulative Capacity,Liquids,Biomass,w/ CCS,,Power,Liquids,Biomass - w/ CCS,Biomass,w/ CCS
Cumulative Capacity|Liquids|Gas|w/ CCS,Cumulative Capacity,Liquids,Gas,w/ CCS,,Power,Liquids,Gas - w/ CCS,Gas,w/ CCS
Cumulative Capacity|Liquids|Gas|w/o CCS,Cumulative Capacity,Liquids,Gas,w/o CCS,,Power,Liquids,Gas - w/o CCS,Gas,w/o CCS
Primary Energy|Oil|Solids,Primary Energy,Oil,Solids,,,Oil,Oil,Oil - Solids,Solids,
Efficiency|Liquids|Gas|w/ CCS,Efficiency,Liquids,Gas,w/ CCS,,Gas&Oil,Gas,Gas - w/ CCS,Gas,w/ CCS
Lifetime|Hydrogen|Gas|w/ CCS,Lifetime,Hydrogen,Gas,w/ CCS,,Hydrogen,Gas,Gas - w/ CCS,Gas,w/ CCS
OM Cost|Fixed|Liquids|Coal|w/ CCS,OM Cost,Fixed,Liquids,Coal,w/ CCS,Coal,Liquids,Coal - w/ CCS,,w/ CCS
Trade|Secondary Energy|Liquids|Coal|Volume,Trade,Secondary Energy,Liquids,Coal,Volume,Liquids,Coal,,Coal,
Water Consumption|Heat,Water Consumption,Heat,,,,Heat,,,,
Water Consumption|Heat|Oil,Water Consumption,Heat,Oil,,,Heat,Oil,Oil,Oil,
Water Consumption|Heat|Other,Water Consumption,Heat,Other,,,Heat,Other,Other,Other,
Water Consumption|Hydrogen|Coal,Water Consumption,Hydrogen,Coal,,,Hydrogen,Coal,Coal,Coal,
Water Consumption|Hydrogen|Gas|w/o CCS,Water Consumption,Hydrogen,Gas,w/o CCS,,Hydrogen,Gas,Gas - w/o CCS,Gas,w/o CCS
Water Consumption|Liquids|Biomass|w/o CCS,Water Consumption,Liquids,Biomass,w/o CCS,,Liquids,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Water Consumption|Liquids|Gas,Water Consumption,Liquids,Gas,,,Liquids,Gas,Gas,Gas,
Water Consumption|Liquids|Gas|w/o CCS,Water Consumption,Liquids,Gas,w/o CCS,,Liquids,Gas,Gas - w/o CCS,Gas,w/o CCS
Water Withdrawal|Extraction|Coal,Water Withdrawal,Extraction,Coal,,,Extraction,Coal,Coal,Coal,
Water Withdrawal|Hydrogen|Electricity,Water Withdrawal,Hydrogen,Electricity,,,Hydrogen,Electricity,Electricity,Electricity,
Water Withdrawal|Liquids|Coal,Water Withdrawal,Liquids,Coal,,,Liquids,Coal,Coal,Coal,
Water Withdrawal|Liquids|Fossil,Water Withdrawal,Liquids,Fossil,,,Liquids,Fossil,Fossil,Fossil,
Emissions|CO2|Industrial Processes|Chemicals|Ammonia,Emissions,CO2,Industrial Processes,Chemicals,Ammonia,Chemicals,Industrial Processes,Ammonia,,
Emissions|CO2|Industrial Processes|Chemicals|Methanol,Emissions,CO2,Industrial Processes,Chemicals,Methanol,Methanol,Chemicals,Industrial Processes,,
Emissions|CO2|Industrial Processes|Chemicals|Other,Emissions,CO2,Industrial Processes,Chemicals,Other,Industry,Chemicals,Industrial Processes,,
Emissions|CO2|Industrial Processes|Non-ferrous metals,Emissions,CO2,Industrial Processes,Non-ferrous metals,,,Non-ferrous metals,Industrial Processes,,
Carbon Intensity|Production|Steel|Fossil|Energy|Demand|Industry,Carbon Intensity,Production,Steel,Fossil,Energy,Steel,,Fossil,,
Capacity|Electricity|Storage|Hydrogen Storage Capacity|overground,Capacity,Electricity,Storage,Hydrogen Storage Capacity,overground,Power,Storage,Hydrogen Storage Capacity - overground,Storage,
Capacity|Gas|Synthetic,Capacity,Gas,Synthetic,,,Gas&Oil,Gas,Gas - Synthetic,Gas,
Capital Cost|Electricity|Solar|PV|Utility-scale PV,Capital Cost,Electricity,Solar,PV,Utility-scale PV,Renewables,Solar,Solar - PV,,
Capital Cost|Electricity|Storage|Pumped Hydro Storage,Capital Cost,Electricity,Storage,Pumped Hydro Storage,,Storage,Pumped Hydro Storage,Storage - Pumped Hydro Storage,,
Lifetime|Gas|Synthetic,Lifetime,Gas,Synthetic,,,Gas&Oil,Gas,Gas - Synthetic,Gas,
Lifetime|Heating|Electric boilers,Lifetime,Heating,Electric boilers,,,Heating,Electric boilers,Electric boilers,Electric boilers,
Lifetime|Storage|Thermal Energy Storage|Household storage,Lifetime,Storage,Thermal Energy Storage,Household storage,,Storage,Thermal Energy Storage,Thermal Energy Storage - Household storage,Thermal Energy Storage,
OM Cost|Heating|Heat pumps,OM Cost,Heating,Heat pumps,,,Heating,Electric Heating,Heat pumps,,
Energy Service|Residential and Commercial|Commercial|Construction,Energy Service,Residential and Commercial,Commercial,Construction,,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Commercial|Education|Renovation rate,Energy Service,Residential and Commercial,Commercial,Education,Renovation rate,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Commercial|Offices|Renovation rate,Energy Service,Residential and Commercial,Commercial,Offices,Renovation rate,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Residential|Construction rate,Energy Service,Residential and Commercial,Residential,Construction rate,,Residential and Commercial,Residential,,,
Emissions|CH4|Energy|Demand|Industry,Emissions,CH4,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CO2,Emissions,CO2,,,,,,,,
Emissions|CO2|Energy|Demand|Industry,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CO2|Industrial Processes,Emissions,CO2,Industrial Processes,,,,,Industrial Processes,,
Emissions|N2O|Energy,Emissions,N2O,Energy,,,,,Energy,,
Emissions|NH3|Energy|Demand|Industry,Emissions,NH3,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|NH3|Energy|Demand|Transportation,Emissions,NH3,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|NOx|Energy,Emissions,NOx,Energy,,,,,Energy,,
Emissions|NOx|Energy|Supply,Emissions,NOx,Energy,Supply,,,Supply,Energy,,
Emissions|Sulfur|Energy|Demand|Industry,Emissions,Sulfur,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|VOC|Energy|Demand|Transportation,Emissions,VOC,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Freight|Aviation,Energy Service,Transportation,Freight,Aviation,,Transportation,Freight,,,
Energy Service|Transportation|Passenger|Road|LDV,Energy Service,Transportation,Passenger,Road,LDV,Transportation,Passenger,,,
Final Energy,Final Energy,,,,,,,,,
Final Energy|Industry|Gases,Final Energy,Industry,Gases,,,Industry,Gases,,,
Final Energy|Industry|Solids,Final Energy,Industry,Solids,,,Industry,,,,
Final Energy|Non-Energy Use|Biomass,Final Energy,Non-Energy Use,Biomass,,,Non-Energy Use,Biomass,,Biomass,
Final Energy|Other Sector,Final Energy,Other Sector,,,,,,,,
Final Energy|Residential and Commercial|Commercial|Heat,Final Energy,Residential and Commercial,Commercial,Heat,,Commercial,Heat,,,
Final Energy|Residential and Commercial|Residential,Final Energy,Residential and Commercial,Residential,,,Residential,,,,
Final Energy|Residential and Commercial|Residential|Gases,Final Energy,Residential and Commercial,Residential,Gases,,Residential,Gases,,,
Final Energy|Residential and Commercial|Residential|Solids,Final Energy,Residential and Commercial,Residential,Solids,,Residential,Solids,,,
Final Energy|Residential and Commercial|Residential|Solids|Biomass|Traditional,Final Energy,Residential and Commercial,Residential,Solids,Biomass,Residential,Solids,Biomass,,
Final Energy|Solids|Biomass|Traditional,Final Energy,Solids,Biomass,Traditional,,,,Biomass - Traditional,Biomass - Traditional,
Final Energy|Transportation|Freight,Final Energy,Transportation,Freight,,,Transportation,Freight,,,
Final Energy|Transportation|Hydrogen,Final Energy,Transportation,Hydrogen,,,Transportation,Hydrogen,,,
Food Demand,Food Demand,,,,,Agriculture,,,,
Food Demand|Crops,Food Demand,Crops,,,,Agriculture,Crops,,,
Investment|Energy Supply|CO2 Transport and Storage,Investment,,CO2 Transport and Storage,,,Energy Supply,CO2 Transport and Storage,,,
Investment|Energy Supply|Electricity|Biomass|w/o CCS,Investment,Energy Supply,Electricity,Biomass,w/o CCS,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Land Cover|Other Arable Land,Land Cover,Other Arable Land,,,,,,,,
OM Cost|Fixed|Liquids|Biomass|w/ CCS,OM Cost,Fixed,Liquids,Biomass,w/ CCS,Biomass,Liquids,Biomass - w/ CCS,,w/ CCS
Policy Cost|Consumption Loss,Policy Cost,Consumption Loss,,,,,,,,
Policy Cost|GDP Loss,Policy Cost,GDP Loss,,,,,,,,
Primary Energy|Biomass|1st Generation,Primary Energy,Biomass,1st Generation,,,Biomass,1st Generation,1st Generation,,
Primary Energy|Gas|w/o CCS,Primary Energy,Gas,w/o CCS,,,Gas&Oil,Gas,Gas - w/o CCS,Gas,w/o CCS
Primary Energy|Non-Biomass Renewables,Primary Energy,Non-Biomass Renewables,,,,Renewables,Non-Biomass Renewables,,,
Secondary Energy|Heat|Biomass,Secondary Energy,Heat,Biomass,,,Heat,Biomass,Heat,,
Secondary Energy|Liquids,Secondary Energy,Liquids,,,,Liquids,,Liquids,,
Secondary Energy|Liquids|Biomass,Secondary Energy,Liquids,Biomass,,,Liquids,Biomass,Liquids,,
